Spalte1;num_nodes;num_edges;average_shortest_path_length;density;net_to_component_ratio;pin_to_component_ratio;avg_connections_per_net;num_nodes_component;num_nodes_pin;num_components_V;num_components_R;num_components_X;num_components_C
mean;44,47395833;102,6822917;3,463541667;0,112521563;0;3,068581701;0;10,86458333;33,609375;1,578125;4,375;1,28125;3,630208333
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
# Global component class frequencies;;;;;;;;;;;;;
component_type;count;relative_frequency_percent;;;;;;;;;;;
R;840;40,26845638;;;;;;;;;;;
C;697;33,41323106;;;;;;;;;;;
V;303;14,52540748;;;;;;;;;;;
X;246;11,79290508;;;;;;;;;;;
