;num_nodes;num_edges;average_shortest_path_length;density;average_node_degree;net_to_component_ratio;pin_to_component_ratio;avg_connections_per_net;num_nodes_component;num_components_V;num_components_R;num_components_X;num_components_C
mean;9,338235294117647;30,352941176470587;1,834033613445378;0,7525855694457682;5,609738172570551;0,0;0,0;0,0;9,338235294117647;2,3256302521008405;3,880252100840336;1,2626050420168067;1,8697478991596639


# Global component class frequencies
component_type;count;relative_frequency_percent
R;1847;41,55230596175478
V;1107;24,904386951631047
C;890;20,022497187851517
X;601;13,520809898762653
